Node,X-Coord,Y-Coord
1034,156787.672,8263508.897
1035,156809.697,8263508.703
1036,156742.827,8263412.315
1037,156791.447,8263410.964
1038,156735.584,8263412.468
1039,156741.144,8263393.071
1040,156740.399,8263379.668
1041,156740.213,8263361.612
1042,156739.283,8263343.370
1043,156737.421,8263328.292
1044,156676.960,8263505.874
1045,156692.798,8263505.960
1046,156714.136,8263506.574
1047,156736.518,8263432.178
1048,156737.140,8263452.455
1049,156737.602,8263474.812
1050,156738.097,8263497.407
1051,156672.327,8263414.284
1052,156716.026,8263413.022
1054,156635.849,8263415.244
1055,156653.788,8263338.916
1056,156654.754,8263408.093
1057,156582.299,8263345.848
1058,156566.719,8263621.915
1059,156579.943,8263622.067
1060,156600.642,8263622.317
1061,156621.010,8263622.712
1062,156662.668,8263939.346
1063,156663.798,8263939.306
1064,156747.958,8264064.186
1065,156747.979,8264064.847
1066,156748.318,8264075.586
1068,156825.904,8263508.784
1069,156834.206,8263508.104
1070,156849.992,8263508.240
1071,156872.582,8263507.832
1072,156741.654,8263636.624
1073,156656.608,8264289.430
1074,156485.035,8264299.225
1075,156477.065,8264299.661
1076,156758.368,8264271.616
1077,156767.018,8264315.807
1078,156589.518,8264778.257
1079,156835.772,8264670.562
1080,156816.541,8264507.120
1081,156834.098,8264506.567
1082,156778.628,8264596.647
1083,156657.038,8264564.367
